Feature Description,Feature Names
bidirectional_duration_ms,bidirectional_duration_ms
bidirectional_packets,bidirectional_packets
bidirectional_bytes,bidirectional_bytes
src2dst_duration_ms,src2dst_duration_ms
src2dst_packets,src2dst_packets
src2dst_bytes,src2dst_bytes
dst2src_duration_ms,dst2src_duration_ms
dst2src_packets,dst2src_packets
dst2src_bytes,dst2src_bytes
bidirectional_min_ps,bidirectional_min_ps
bidirectional_mean_ps,bidirectional_mean_ps
bidirectional_stddev_ps,bidirectional_stddev_ps
bidirectional_max_ps,bidirectional_max_ps
src2dst_min_ps,src2dst_min_ps
src2dst_mean_ps,src2dst_mean_ps
src2dst_stddev_ps,src2dst_stddev_ps
src2dst_max_ps,src2dst_max_ps
dst2src_min_ps,dst2src_min_ps
dst2src_mean_ps,dst2src_mean_ps
dst2src_stddev_ps,dst2src_stddev_ps
dst2src_max_ps,dst2src_max_ps
bidirectional_min_piat_ms,bidirectional_min_piat_ms
bidirectional_mean_piat_ms,bidirectional_mean_piat_ms
bidirectional_stddev_piat_ms,bidirectional_stddev_piat_ms
bidirectional_max_piat_ms,bidirectional_max_piat_ms
src2dst_min_piat_ms,src2dst_min_piat_ms
src2dst_mean_piat_ms,src2dst_mean_piat_ms
src2dst_stddev_piat_ms,src2dst_stddev_piat_ms
src2dst_max_piat_ms,src2dst_max_piat_ms
dst2src_min_piat_ms,dst2src_min_piat_ms
dst2src_mean_piat_ms,dst2src_mean_piat_ms
dst2src_stddev_piat_ms,dst2src_stddev_piat_ms
dst2src_max_piat_ms,dst2src_max_piat_ms
bidirectional_syn_packets,bidirectional_syn_packets
bidirectional_cwr_packets,bidirectional_cwr_packets
bidirectional_ece_packets,bidirectional_ece_packets
bidirectional_urg_packets,bidirectional_urg_packets
bidirectional_ack_packets,bidirectional_ack_packets
bidirectional_psh_packets,bidirectional_psh_packets
bidirectional_rst_packets,bidirectional_rst_packets
bidirectional_fin_packets,bidirectional_fin_packets
src2dst_syn_packets,src2dst_syn_packets
src2dst_cwr_packets,src2dst_cwr_packets
src2dst_ece_packets,src2dst_ece_packets
src2dst_urg_packets,src2dst_urg_packets
src2dst_ack_packets,src2dst_ack_packets
src2dst_psh_packets,src2dst_psh_packets
src2dst_rst_packets,src2dst_rst_packets
src2dst_fin_packets,src2dst_fin_packets
dst2src_syn_packets,dst2src_syn_packets
dst2src_cwr_packets,dst2src_cwr_packets
dst2src_ece_packets,dst2src_ece_packets
dst2src_urg_packets,dst2src_urg_packets
dst2src_ack_packets,dst2src_ack_packets
dst2src_psh_packets,dst2src_psh_packets
dst2src_rst_packets,dst2src_rst_packets
dst2src_fin_packets,dst2src_fin_packets
packet_size_variation,packet_size_variation
UDP Requests raised by Specific Source to destination within last few milliseconds are ,Rolling_UDP_Requests_SourceDestination
Total UDP Requests received at the destination within last few miliseconds are,Rolling_UDP_Requests_Destination
TCP Requests raised by Specific Source to destination within last few milliseconds are ,Rolling_TCP_Requests_SourceDestination
Total TCP Requests received at the destination within last few milliseconds are,Rolling_TCP_Requests_Destination
ACK Packets raised by Specific Source to destination within last few milliseconds are,Rolling_ACK_Packets_SourceDestination
Total ACK Packets received at the destination within last few milliseconds are,Rolling_ACK_Packets_Destination
FIN Packets raised by Specific Source to destination within last few milliseconds are,Rolling_FIN_Packets_SourceDestination
Total FIN Packets received at the destination within last few milliseconds are,Rolling_FIN_Packets_Destination
RST Packets raised by Specific Source to destination within last few milliseconds are,Rolling_rst_Packets_SourceDestination
Total RST Packets received at the destination within last few milliseconds are,Rolling_rst_Packets_Destination
PSH Packets raised by Specific Source to destination within last few milliseconds are,Rolling_psh_Packets_SourceDestination
Total PSH Packets received at the destination within last few milliseconds are,Rolling_psh_Packets_Destination
SYN Packets raised by Specific Source to destination within last few milliseconds are,Rolling_SYN_Packets_SourceDestination
Total SYN Packets received at the destination within last few milliseconds are,Rolling_SYN_Packets_Destination
Total distinct Ports accessed by the specific source to the destination within last few milliseconds are,Unique_Ports_In_SourceDestinationIP
ICMP Packets raised by Specific Source to destination within last few milliseconds are,Rolling_ICMP_Requests_SourceDestination
Total ICMP Packets received at the destination within last few milliseconds are,Rolling_ICMP_Requests_Destination
Total http Ports accessed by the specific source to the destination within last few milliseconds are,Rolling_http_port_SourceDestination
Total http ports accessed at the destination within last few milliseconds are,Rolling_http_port_Destination
Mean value of bidirectional packets duration with respect to destination within last few milliseconds ,Rolling_Duration_Destination
Mean value of bidirectional packets duration received from specific source to destination within last few milliseconds is,Rolling_Duration_SourceDestination
DNS requests raised by Specific Source to destination within last few milliseconds are,Rolling_DNS_request_SourceDestination
Total DNS Requests received at the destination within last few milliseconds are,Rolling_DNS_request_Destination
Total Renowned Vulnerable Ports accessed by the specific source to the destination within last few milliseconds are,Rolling_vulnerable_port
Total Packets received at the destination within last few milliseconds are,Rolling_packets_destination
